scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
segment,FUJIN Rumble,14.5,192.0,audio_segment,8,81,96,interlude,間奏,16,,172,,,,,,,,,,,12.125,0.579,,,,,instrumental,0.068,0.317,hook,hook,drum,hook,drums,0.465,other,0.233,drums,2.133,True,True,True,0.465,0.105,0.233,0.145,0.962,2.133,1.178,2.106,1.937,,,,,
segment,FUJIN Rumble,14.5,192.0,audio_segment,9,97,97,interlude,間奏,1,,2,,,,,,,,,,,2.0,0.232,,,,,instrumental,0.0,1.0,drum,,drum,,drums,0.0,bass,0.0,drums,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
segment,FUJIN Rumble,14.5,192.0,chart_changepoint,0,2,11,,,10,,38,,,,,,,,,,,4.4,0.311,,,,,instrumental,,,,,,,drums,0.632,vocals,0.237,drums,4.436,,,,0.632,0.0,0.21,0.237,0.692,4.436,0.0,2.687,3.915,,,,,
segment,FUJIN Rumble,14.5,192.0,chart_changepoint,1,12,36,,,25,,192,,,,,,,,,,,9.92,0.653,,,,,instrumental,,,,,,,drums,0.714,vocals,0.234,drums,2.683,,,,0.714,0.188,0.188,0.234,0.692,2.683,1.575,1.332,1.998,,,,,
segment,FUJIN Rumble,14.5,192.0,chart_changepoint,2,37,47,,,11,,44,,,,,,,,,,,6.636,0.648,,,,,instrumental,,,,,,,drums,0.932,other,0.318,drums,4.045,,,,0.932,0.182,0.318,0.159,0.35,4.045,2.176,2.373,1.904,,,,,
segment,FUJIN Rumble,14.5,192.0,chart_changepoint,3,48,87,,,40,,493,,,,,,,,,,,13.525,0.831,,,,,instrumental,,,,,,,drums,0.529,bass,0.191,drums,1.806,,,,0.529,0.191,0.136,0.146,0.75,1.806,1.225,1.3,1.342,,,,,
segment,FUJIN Rumble,14.5,192.0,chart_changepoint,4,88,97,,,10,,71,,,,,,,,,,,9.4,0.396,,,,,instrumental,,,,,,,drums,0.437,other,0.282,other,3.403,,,,0.437,0.085,0.282,0.141,0.909,2.981,1.999,3.403,2.739,,,,,
song,Jack-the-Ripper◆,14.1,210.0,,,,,,,127,933,754,0.0,20.0,11.66,0.34,0.269,0.288,0.202,76,0.5,0.75,7.346,,7.718,0.702,2.525,-1.526,instrumental,,,,,,,,,,,,,,,,0.589,0.233,0.223,0.049,0.661,2.581,2.198,2.491,2.007,0.237,0.666,tail_kill,1.276,-0.006
segment,Jack-the-Ripper◆,14.1,210.0,audio_segment,0,2,14,intro,イントロ,13,,93,,,,,,,,,,,8.0,0.436,,,,,instrumental,0.0,0.071,hook,,hook,,other,0.785,drums,0.14,other,2.97,True,True,True,0.14,0.0,0.785,0.011,1.0,1.307,0.0,2.97,2.668,,,,,
segment,Jack-the-Ripper◆,14.1,210.0,audio_segment,1,15,24,interlude,間奏,10,,77,,,,,,,,,,,8.3,0.708,,,,,instrumental,0.0,0.018,hook,bass,drum,bass,drums,0.701,other,0.403,drums,2.796,True,True,True,0.701,0.286,0.403,0.013,1.0,2.796,2.619,2.68,2.48,,,,,
segment,Jack-the-Ripper◆,14.1,210.0,audio_segment,2,25,28,interlude,間奏,4,,23,,,,,,,,,,,8.25,0.71,,,,,instrumental,0.0,0.0,drum,,drum,,drums,0.739,bass,0.435,drums,3.068,True,True,True,0.739,0.435,0.217,0.0,,3.068,2.59,2.477,,,,,,
